"Name","Locus","Pathway"
"narK2","Rv1737c","mtu00910"
"narK1","Rv2329c","mtu00910"
"narK3","Rv0261c","mtu00910"
"narU","Rv0267","mtu00910"
"narG","Rv1161","mtu00910"
"narX","Rv1736c","mtu00910"
"narH","Rv1162","mtu00910"
"narI","Rv1164","mtu00910"
"nirB","Rv0252","mtu00910"
"nirD","Rv0253","mtu00910"
"Rv0021c","Rv0021c","mtu00910"
"Rv2781c","Rv2781c","mtu00910"
"gdh","Rv2476c","mtu00910"
"glnA1","Rv2220","mtu00910"
"glnA2","Rv2222c","mtu00910"
"glnA4","Rv2860c","mtu00910"
"glnA3","Rv1878","mtu00910"
"gltB","Rv3859c","mtu00910"
"gltD","Rv3858c","mtu00910"
"canB","Rv3588c","mtu00910"
"canA","Rv1284","mtu00910"
"Rv3273","Rv3273","mtu00910"
"narK2","Rv1737c","mtu00910"
"narK1","Rv2329c","mtu00910"
"narK3","Rv0261c","mtu00910"
"narU","Rv0267","mtu00910"
"narG","Rv1161","mtu00910"
"narX","Rv1736c","mtu00910"
"narH","Rv1162","mtu00910"
"narI","Rv1164","mtu00910"
"nirB","Rv0252","mtu00910"
"nirD","Rv0253","mtu00910"
"Rv0021c","Rv0021c","mtu00910"
"Rv2781c","Rv2781c","mtu00910"
"gdh","Rv2476c","mtu00910"
"glnA1","Rv2220","mtu00910"
"glnA2","Rv2222c","mtu00910"
"glnA4","Rv2860c","mtu00910"
"glnA3","Rv1878","mtu00910"
"gltB","Rv3859c","mtu00910"
"gltD","Rv3858c","mtu00910"
"canB","Rv3588c","mtu00910"
"canA","Rv1284","mtu00910"
"Rv3273","Rv3273","mtu00910"
"subI","Rv2400c","mtu00920"
"cysT","Rv2399c","mtu00920"
"cysW","Rv2398c","mtu00920"
"cysA1","Rv2397c","mtu00920"
"Rv1286","Rv1286","mtu00920"
"cysD","Rv1285","mtu00920"
"cysQ","Rv2131c","mtu00920"
"Rv2837c","Rv2837c","mtu00920"
"cysH","Rv2392","mtu00920"
"sirA","Rv2391","mtu00920"
"Rv0331","Rv0331","mtu00920"
"cysA2","Rv0815c","mtu00920"
"sseB","Rv2291","mtu00920"
"cysA3","Rv3117","mtu00920"
"sseA","Rv3283","mtu00920"
"cysE","Rv2335","mtu00920"
"cysK1","Rv2334","mtu00920"
"Rv3684","Rv3684","mtu00920"
"metA","Rv3341","mtu00920"
"metB","Rv1079","mtu00920"
"metZ","Rv0391","mtu00920"
"Rv3238c","Rv3238c","mtu00920"
"subI","Rv2400c","mtu00920"
"cysT","Rv2399c","mtu00920"
"cysW","Rv2398c","mtu00920"
"cysA1","Rv2397c","mtu00920"
"Rv1286","Rv1286","mtu00920"
"cysD","Rv1285","mtu00920"
"cysQ","Rv2131c","mtu00920"
"Rv2837c","Rv2837c","mtu00920"
"cysH","Rv2392","mtu00920"
"sirA","Rv2391","mtu00920"
"Rv0331","Rv0331","mtu00920"
"cysA2","Rv0815c","mtu00920"
"sseB","Rv2291","mtu00920"
"cysA3","Rv3117","mtu00920"
"sseA","Rv3283","mtu00920"
"cysE","Rv2335","mtu00920"
"cysK1","Rv2334","mtu00920"
"Rv3684","Rv3684","mtu00920"
"metA","Rv3341","mtu00920"
"metB","Rv1079","mtu00920"
"metZ","Rv0391","mtu00920"
"Rv3238c","Rv3238c","mtu00920"
"alkB","Rv3252c","mtu00930"
"echA10","Rv1142c","mtu00930"
"echA13","Rv1935c","mtu00930"
"echA15","Rv2679","mtu00930"
"echA16","Rv2831","mtu00930"
"echA18","Rv3373","mtu00930"
"echA19","Rv3516","mtu00930"
"echA21","Rv3774","mtu00930"
"echA8","Rv1070c","mtu00930"
"echA6","Rv0905","mtu00930"
"echA12","Rv1472","mtu00930"
"echA14","Rv2486","mtu00930"
"echA17","Rv3039c","mtu00930"
"echA1","Rv0222","mtu00930"
"echA2","Rv0456c","mtu00930"
"echA3","Rv0632c","mtu00930"
"echA5","Rv0675","mtu00930"
"echA7","Rv0971c","mtu00930"
"echA9","Rv1071c","mtu00930"
"echA20","Rv3550","mtu00930"
"echA4","Rv0673","mtu00930"
"echA11","Rv1141c","mtu00930"
"fadB","Rv0860","mtu00930"
"alkB","Rv3252c","mtu00930"
"echA10","Rv1142c","mtu00930"
"echA13","Rv1935c","mtu00930"
"echA15","Rv2679","mtu00930"
"echA16","Rv2831","mtu00930"
"echA18","Rv3373","mtu00930"
"echA19","Rv3516","mtu00930"
"echA21","Rv3774","mtu00930"
"echA8","Rv1070c","mtu00930"
"echA6","Rv0905","mtu00930"
"echA12","Rv1472","mtu00930"
"echA14","Rv2486","mtu00930"
"echA17","Rv3039c","mtu00930"
"echA1","Rv0222","mtu00930"
"echA2","Rv0456c","mtu00930"
"echA3","Rv0632c","mtu00930"
"echA5","Rv0675","mtu00930"
"echA7","Rv0971c","mtu00930"
"echA9","Rv1071c","mtu00930"
"echA20","Rv3550","mtu00930"
"echA4","Rv0673","mtu00930"
"echA11","Rv1141c","mtu00930"
"fadB","Rv0860","mtu00930"
"alaU","Rvnt37","mtu00970"
"alaT","Rvnt02","mtu00970"
"alaV","Rvnt15","mtu00970"
"argU","Rvnt43","mtu00970"
"argT","Rvnt14","mtu00970"
"argW","Rvnt28","mtu00970"
"argV","Rvnt18","mtu00970"
"asnT","Rvnt25","mtu00970"
"aspT","Rvnt12","mtu00970"
"cysU","Rvnt33","mtu00970"
"glnU","Rvnt36","mtu00970"
"glnT","Rvnt16","mtu00970"
"gluT","Rvnt11","mtu00970"
"gluU","Rvnt35","mtu00970"
"glyV","Rvnt27","mtu00970"
"glyU","Rvnt04","mtu00970"
"glyT","Rvnt32","mtu00970"
"hisT","Rvnt29","mtu00970"
"ileT","Rvnt01","mtu00970"
"leuT","Rvnt03","mtu00970"
"leuU","Rvnt22","mtu00970"
"leuW","Rvnt19","mtu00970"
"leuV","Rvnt20","mtu00970"
"leuX","Rvnt17","mtu00970"
"lysT","Rvnt10","mtu00970"
"lysU","Rvnt30","mtu00970"
"metV","Rvnt24","mtu00970"
"metT","Rvnt07","mtu00970"
"metU","Rvnt38","mtu00970"
"pheU","Rvnt13","mtu00970"
"proY","Rvnt40","mtu00970"
"proT","Rvnt21","mtu00970"
"proU","Rvnt26","mtu00970"
"serT","Rvnt44","mtu00970"
"serV","Rvnt41","mtu00970"
"serX","Rvnt42","mtu00970"
"serU","Rvnt45","mtu00970"
"thrT","Rvnt06","mtu00970"
"thrV","Rvnt09","mtu00970"
"thrU","Rvnt39","mtu00970"
"trpT","Rvnt08","mtu00970"
"tyrT","Rvnt05","mtu00970"
"valT","Rvnt31","mtu00970"
"valV","Rvnt23","mtu00970"
"valU","Rvnt34","mtu00970"
"gltS","Rv2992c","mtu00970"
"gatA","Rv3011c","mtu00970"
"gatB","Rv3009c","mtu00970"
"gatC","Rv3012c","mtu00970"
"alaS","Rv2555c","mtu00970"
"aspS","Rv2572c","mtu00970"
"glyS","Rv2357c","mtu00970"
"thrS","Rv2614c","mtu00970"
"serS","Rv3834c","mtu00970"
"cysS1","Rv3580c","mtu00970"
"metS","Rv1007c","mtu00970"
"fmt","Rv1406","mtu00970"
"valS","Rv2448c","mtu00970"
"leuS","Rv0041","mtu00970"
"ileS","Rv1536","mtu00970"
"lysS","Rv3598c","mtu00970"
"lysX","Rv1640c","mtu00970"
"argS","Rv1292","mtu00970"
"proS","Rv2845c","mtu00970"
"hisS","Rv2580c","mtu00970"
"pheS","Rv1649","mtu00970"
"pheT","Rv1650","mtu00970"
"tyrS","Rv1689","mtu00970"
"trpS","Rv3336c","mtu00970"
"alaU","Rvnt37","mtu00970"
"alaT","Rvnt02","mtu00970"
"alaV","Rvnt15","mtu00970"
"argU","Rvnt43","mtu00970"
"argT","Rvnt14","mtu00970"
"argW","Rvnt28","mtu00970"
"argV","Rvnt18","mtu00970"
"asnT","Rvnt25","mtu00970"
"aspT","Rvnt12","mtu00970"
"cysU","Rvnt33","mtu00970"
"glnU","Rvnt36","mtu00970"
"glnT","Rvnt16","mtu00970"
"gluT","Rvnt11","mtu00970"
"gluU","Rvnt35","mtu00970"
"glyV","Rvnt27","mtu00970"
"glyU","Rvnt04","mtu00970"
"glyT","Rvnt32","mtu00970"
"hisT","Rvnt29","mtu00970"
"ileT","Rvnt01","mtu00970"
"leuT","Rvnt03","mtu00970"
"leuU","Rvnt22","mtu00970"
"leuW","Rvnt19","mtu00970"
"leuV","Rvnt20","mtu00970"
"leuX","Rvnt17","mtu00970"
"lysT","Rvnt10","mtu00970"
"lysU","Rvnt30","mtu00970"
"metV","Rvnt24","mtu00970"
"metT","Rvnt07","mtu00970"
"metU","Rvnt38","mtu00970"
"pheU","Rvnt13","mtu00970"
"proY","Rvnt40","mtu00970"
"proT","Rvnt21","mtu00970"
"proU","Rvnt26","mtu00970"
"serT","Rvnt44","mtu00970"
"serV","Rvnt41","mtu00970"
"serX","Rvnt42","mtu00970"
"serU","Rvnt45","mtu00970"
"thrT","Rvnt06","mtu00970"
"thrV","Rvnt09","mtu00970"
"thrU","Rvnt39","mtu00970"
"trpT","Rvnt08","mtu00970"
"tyrT","Rvnt05","mtu00970"
"valT","Rvnt31","mtu00970"
"valV","Rvnt23","mtu00970"
"valU","Rvnt34","mtu00970"
"gltS","Rv2992c","mtu00970"
"gatA","Rv3011c","mtu00970"
"gatB","Rv3009c","mtu00970"
"gatC","Rv3012c","mtu00970"
"alaS","Rv2555c","mtu00970"
"aspS","Rv2572c","mtu00970"
"glyS","Rv2357c","mtu00970"
"thrS","Rv2614c","mtu00970"
"serS","Rv3834c","mtu00970"
"cysS1","Rv3580c","mtu00970"
"metS","Rv1007c","mtu00970"
"fmt","Rv1406","mtu00970"
"valS","Rv2448c","mtu00970"
"leuS","Rv0041","mtu00970"
"ileS","Rv1536","mtu00970"
"lysS","Rv3598c","mtu00970"
"lysX","Rv1640c","mtu00970"
"argS","Rv1292","mtu00970"
"proS","Rv2845c","mtu00970"
"hisS","Rv2580c","mtu00970"
"pheS","Rv1649","mtu00970"
"pheT","Rv1650","mtu00970"
"tyrS","Rv1689","mtu00970"
"trpS","Rv3336c","mtu00970"
"hpt","Rv3624c","mtu00983"
"guaB1","Rv1843c","mtu00983"
"guaB3","Rv3410c","mtu00983"
"guaB2","Rv3411c","mtu00983"
"guaA","Rv3396c","mtu00983"
"cdd","Rv3315c","mtu00983"
"deoA","Rv3314c","mtu00983"
"ndkA","Rv2445c","mtu00983"
"dut","Rv2697c","mtu00983"
"katG","Rv1908c","mtu00983"
"nat","Rv3566c","mtu00983"
"hpt","Rv3624c","mtu00983"
"guaB1","Rv1843c","mtu00983"
"guaB3","Rv3410c","mtu00983"
"guaB2","Rv3411c","mtu00983"
"guaA","Rv3396c","mtu00983"
"cdd","Rv3315c","mtu00983"
"deoA","Rv3314c","mtu00983"
"ndkA","Rv2445c","mtu00983"
"dut","Rv2697c","mtu00983"
"katG","Rv1908c","mtu00983"
"nat","Rv3566c","mtu00983"
"choD","Rv3409c","mtu00984"
"Rv1106c","Rv1106c","mtu00984"
"cyp125","Rv3545c","mtu00984"
"cyp142","Rv3518c","mtu00984"
"kstD","Rv3537","mtu00984"
"kshA","Rv3526","mtu00984"
"kshB","Rv3571","mtu00984"
"hsaA","Rv3570c","mtu00984"
"hsaB","Rv3567c","mtu00984"
"hsaC","Rv3568c","mtu00984"
"hsaD","Rv3569c","mtu00984"
"fadD3","Rv3561","mtu00984"
"Rv0760c","Rv0760c","mtu00984"
"choD","Rv3409c","mtu00984"
"Rv1106c","Rv1106c","mtu00984"
"cyp125","Rv3545c","mtu00984"
"cyp142","Rv3518c","mtu00984"
"kstD","Rv3537","mtu00984"
"kshA","Rv3526","mtu00984"
"kshB","Rv3571","mtu00984"
"hsaA","Rv3570c","mtu00984"
"hsaB","Rv3567c","mtu00984"
"hsaC","Rv3568c","mtu00984"
"hsaD","Rv3569c","mtu00984"
"fadD3","Rv3561","mtu00984"
"Rv0760c","Rv0760c","mtu00984"
"desA1","Rv0824c","mtu01040"
"desA2","Rv1094","mtu01040"
"desA3","Rv3229c","mtu01040"
"Rv3230c","Rv3230c","mtu01040"
"tesB1","Rv1618","mtu01040"
"tesB2","Rv2605c","mtu01040"
"desA1","Rv0824c","mtu01040"
"desA2","Rv1094","mtu01040"
"desA3","Rv3229c","mtu01040"
"Rv3230c","Rv3230c","mtu01040"
"tesB1","Rv1618","mtu01040"
"tesB2","Rv2605c","mtu01040"
"entC","Rv3215","mtu01053"
"mbtI","Rv2386c","mtu01053"
"mbtA","Rv2384","mtu01053"
"mbtB","Rv2383c","mtu01053"
"mbtE","Rv2380c","mtu01053"
"mbtC","Rv2382c","mtu01053"
"mbtD","Rv2381c","mtu01053"
"mbtF","Rv2379c","mtu01053"
"mbtG","Rv2378c","mtu01053"
"entC","Rv3215","mtu01053"
"mbtI","Rv2386c","mtu01053"
"mbtA","Rv2384","mtu01053"
"mbtB","Rv2383c","mtu01053"
"mbtE","Rv2380c","mtu01053"
"mbtC","Rv2382c","mtu01053"
"mbtD","Rv2381c","mtu01053"
"mbtF","Rv2379c","mtu01053"
"mbtG","Rv2378c","mtu01053"
"subI","Rv2400c","mtu02010"
"cysT","Rv2399c","mtu02010"
"cysW","Rv2398c","mtu02010"
"cysA1","Rv2397c","mtu02010"
"modA","Rv1857","mtu02010"
"modB","Rv1858","mtu02010"
"modC","Rv1859","mtu02010"
"proX","Rv3759c","mtu02010"
"proW","Rv3757c","mtu02010"
"proZ","Rv3756c","mtu02010"
"proV","Rv3758c","mtu02010"
"Rv2038c","Rv2038c","mtu02010"
"sugC","Rv1238","mtu02010"
"mce4F","Rv3494c","mtu02010"
"lprN","Rv3495c","mtu02010"
"mce4C","Rv3497c","mtu02010"
"mce4B","Rv3498c","mtu02010"
"mce3B","Rv1967","mtu02010"
"mce3C","Rv1968","mtu02010"
"mce3D","Rv1969","mtu02010"
"lprM","Rv1970","mtu02010"
"mce3F","Rv1971","mtu02010"
"mce1B","Rv0170","mtu02010"
"lprK","Rv0173","mtu02010"
"mce1F","Rv0174","mtu02010"
"mce2C","Rv0591","mtu02010"
"lprL","Rv0593","mtu02010"
"mce2F","Rv0594","mtu02010"
"mce2A","Rv0589","mtu02010"
"mce3A","Rv1966","mtu02010"
"mce1A","Rv0169","mtu02010"
"mce1C","Rv0171","mtu02010"
"mce2D","Rv0592","mtu02010"
"mce4A","Rv3499c","mtu02010"
"mce4D","Rv3496c","mtu02010"
"mce1D","Rv0172","mtu02010"
"yrbE4B","Rv3500c","mtu02010"
"yrbE4A","Rv3501c","mtu02010"
"yrbE3A","Rv1964","mtu02010"
"yrbE3B","Rv1965","mtu02010"
"yrbE1A","Rv0167","mtu02010"
"yrbE1B","Rv0168","mtu02010"
"yrbE2A","Rv0587","mtu02010"
"Rv0588","Rv0588","mtu02010"
"mkl","Rv0655","mtu02010"
"ugpB","Rv2833c","mtu02010"
"ugpA","Rv2835c","mtu02010"
"ugpE","Rv2834c","mtu02010"
"ugpC","Rv2832c","mtu02010"
"pstS3","Rv0928","mtu02010"
"pstS2","Rv0932c","mtu02010"
"pstS1","Rv0934","mtu02010"
"pstC2","Rv0929","mtu02010"
"pstC1","Rv0935","mtu02010"
"pstA1","Rv0930","mtu02010"
"pstA2","Rv0936","mtu02010"
"phoT","Rv0820","mtu02010"
"pstB","Rv0933","mtu02010"
"dppA","Rv3666c","mtu02010"
"dppB","Rv3665c","mtu02010"
"dppC","Rv3664c","mtu02010"
"Rv2325c","Rv2325c","mtu02010"
"Rv2686c","Rv2686c","mtu02010"
"Rv2687c","Rv2687c","mtu02010"
"Rv2688c","Rv2688c","mtu02010"
"ftsX","Rv3101c","mtu02010"
"ftsE","Rv3102c","mtu02010"
"irtA","Rv1348","mtu02010"
"irtB","Rv1349","mtu02010"
"Rv0194","Rv0194","mtu02010"
"cydC","Rv1620c","mtu02010"
"cydD","Rv1621c","mtu02010"
"bacA","Rv1819c","mtu02010"
"subI","Rv2400c","mtu02010"
"cysT","Rv2399c","mtu02010"
"cysW","Rv2398c","mtu02010"
"cysA1","Rv2397c","mtu02010"
"modA","Rv1857","mtu02010"
"modB","Rv1858","mtu02010"
"modC","Rv1859","mtu02010"
"proX","Rv3759c","mtu02010"
"proW","Rv3757c","mtu02010"
"proZ","Rv3756c","mtu02010"
"proV","Rv3758c","mtu02010"
"Rv2038c","Rv2038c","mtu02010"
"sugC","Rv1238","mtu02010"
"mce4F","Rv3494c","mtu02010"
"lprN","Rv3495c","mtu02010"
"mce4C","Rv3497c","mtu02010"
"mce4B","Rv3498c","mtu02010"
"mce3B","Rv1967","mtu02010"
"mce3C","Rv1968","mtu02010"
"mce3D","Rv1969","mtu02010"
"lprM","Rv1970","mtu02010"
"mce3F","Rv1971","mtu02010"
"mce1B","Rv0170","mtu02010"
"lprK","Rv0173","mtu02010"
"mce1F","Rv0174","mtu02010"
"mce2C","Rv0591","mtu02010"
"lprL","Rv0593","mtu02010"
"mce2F","Rv0594","mtu02010"
"mce2A","Rv0589","mtu02010"
"mce3A","Rv1966","mtu02010"
"mce1A","Rv0169","mtu02010"
"mce1C","Rv0171","mtu02010"
"mce2D","Rv0592","mtu02010"
"mce4A","Rv3499c","mtu02010"
"mce4D","Rv3496c","mtu02010"
"mce1D","Rv0172","mtu02010"
"yrbE4B","Rv3500c","mtu02010"
"yrbE4A","Rv3501c","mtu02010"
"yrbE3A","Rv1964","mtu02010"
"yrbE3B","Rv1965","mtu02010"
"yrbE1A","Rv0167","mtu02010"
"yrbE1B","Rv0168","mtu02010"
"yrbE2A","Rv0587","mtu02010"
"Rv0588","Rv0588","mtu02010"
"mkl","Rv0655","mtu02010"
"ugpB","Rv2833c","mtu02010"
"ugpA","Rv2835c","mtu02010"
"ugpE","Rv2834c","mtu02010"
"ugpC","Rv2832c","mtu02010"
"pstS3","Rv0928","mtu02010"
"pstS2","Rv0932c","mtu02010"
"pstS1","Rv0934","mtu02010"
"pstC2","Rv0929","mtu02010"
"pstC1","Rv0935","mtu02010"
"pstA1","Rv0930","mtu02010"
"pstA2","Rv0936","mtu02010"
"phoT","Rv0820","mtu02010"
"pstB","Rv0933","mtu02010"
"dppA","Rv3666c","mtu02010"
"dppB","Rv3665c","mtu02010"
"dppC","Rv3664c","mtu02010"
"Rv2325c","Rv2325c","mtu02010"
"Rv2686c","Rv2686c","mtu02010"
"Rv2687c","Rv2687c","mtu02010"
"Rv2688c","Rv2688c","mtu02010"
"ftsX","Rv3101c","mtu02010"
"ftsE","Rv3102c","mtu02010"
"irtA","Rv1348","mtu02010"
"irtB","Rv1349","mtu02010"
"Rv0194","Rv0194","mtu02010"
"cydC","Rv1620c","mtu02010"
"cydD","Rv1621c","mtu02010"
"bacA","Rv1819c","mtu02010"
"senX3","Rv0490","mtu02020"
"regX3","Rv0491","mtu02020"
"pstS3","Rv0928","mtu02020"
"pstS2","Rv0932c","mtu02020"
"pstS1","Rv0934","mtu02020"
"kdpD","Rv1028c","mtu02020"
"kdpE","Rv1027c","mtu02020"
"kdpA","Rv1029","mtu02020"
"kdpB","Rv1030","mtu02020"
"kdpC","Rv1031","mtu02020"
"Rv1456c","Rv1456c","mtu02020"
"mprB","Rv0982","mtu02020"
"mprA","Rv0981","mtu02020"
"pepD","Rv0983","mtu02020"
"mtrB","Rv3245c","mtu02020"
"mtrA","Rv3246c","mtu02020"
"dnaA","Rv0001","mtu02020"
"prrB","Rv0902c","mtu02020"
"prrA","Rv0903c","mtu02020"
"trcS","Rv1032c","mtu02020"
"trcR","Rv1033c","mtu02020"
"lpqR","Rv0838","mtu02020"
"citE","Rv2498c","mtu02020"
"Rv3075c","Rv3075c","mtu02020"
"mez","Rv2332","mtu02020"
"narL","Rv0844c","mtu02020"
"narG","Rv1161","mtu02020"
"narX","Rv1736c","mtu02020"
"narH","Rv1162","mtu02020"
"narI","Rv1164","mtu02020"
"narJ","Rv1163","mtu02020"
"frdA","Rv1552","mtu02020"
"frdB","Rv1553","mtu02020"
"frdC","Rv1554","mtu02020"
"frdD","Rv1555","mtu02020"
"devS","Rv3132c","mtu02020"
"devR","Rv3133c","mtu02020"
"glnD","Rv2918c","mtu02020"
"glnB","Rv2919c","mtu02020"
"glnA1","Rv2220","mtu02020"
"glnA2","Rv2222c","mtu02020"
"glnA4","Rv2860c","mtu02020"
"glnA3","Rv1878","mtu02020"
"fadA4","Rv1323","mtu02020"
"fadA3","Rv1074c","mtu02020"
"Rv1867","Rv1867","mtu02020"
"fadA5","Rv3546","mtu02020"
"Rv0859","Rv0859","mtu02020"
"Rv0914c","Rv0914c","mtu02020"
"ltp3","Rv3523","mtu02020"
"fadA2","Rv0243","mtu02020"
"fadA6","Rv3556c","mtu02020"
"dctA","Rv2443","mtu02020"
"crp","Rv3676","mtu02020"
"cydA","Rv1623c","mtu02020"
"cydB","Rv1622c","mtu02020"
"ptpA","Rv2234","mtu02020"
"ptbB","Rv0153c","mtu02020"
"celA1","Rv0062","mtu02020"
"senX3","Rv0490","mtu02020"
"regX3","Rv0491","mtu02020"
"pstS3","Rv0928","mtu02020"
"pstS2","Rv0932c","mtu02020"
"pstS1","Rv0934","mtu02020"
"kdpD","Rv1028c","mtu02020"
"kdpE","Rv1027c","mtu02020"
"kdpA","Rv1029","mtu02020"
"kdpB","Rv1030","mtu02020"
"kdpC","Rv1031","mtu02020"
"Rv1456c","Rv1456c","mtu02020"
"mprB","Rv0982","mtu02020"
"mprA","Rv0981","mtu02020"
"pepD","Rv0983","mtu02020"
"mtrB","Rv3245c","mtu02020"
"mtrA","Rv3246c","mtu02020"
"dnaA","Rv0001","mtu02020"
"prrB","Rv0902c","mtu02020"
"prrA","Rv0903c","mtu02020"
"trcS","Rv1032c","mtu02020"
"trcR","Rv1033c","mtu02020"
"lpqR","Rv0838","mtu02020"
"citE","Rv2498c","mtu02020"
"Rv3075c","Rv3075c","mtu02020"
"mez","Rv2332","mtu02020"
"narL","Rv0844c","mtu02020"
"narG","Rv1161","mtu02020"
"narX","Rv1736c","mtu02020"
"narH","Rv1162","mtu02020"
"narI","Rv1164","mtu02020"
"narJ","Rv1163","mtu02020"
"frdA","Rv1552","mtu02020"
"frdB","Rv1553","mtu02020"
"frdC","Rv1554","mtu02020"
"frdD","Rv1555","mtu02020"
"devS","Rv3132c","mtu02020"
"devR","Rv3133c","mtu02020"
"glnD","Rv2918c","mtu02020"
"glnB","Rv2919c","mtu02020"
"glnA1","Rv2220","mtu02020"
"glnA2","Rv2222c","mtu02020"
"glnA4","Rv2860c","mtu02020"
"glnA3","Rv1878","mtu02020"
"fadA4","Rv1323","mtu02020"
"fadA3","Rv1074c","mtu02020"
"Rv1867","Rv1867","mtu02020"
"fadA5","Rv3546","mtu02020"
"Rv0859","Rv0859","mtu02020"
"Rv0914c","Rv0914c","mtu02020"
"ltp3","Rv3523","mtu02020"
"fadA2","Rv0243","mtu02020"
"fadA6","Rv3556c","mtu02020"
"dctA","Rv2443","mtu02020"
"crp","Rv3676","mtu02020"
"cydA","Rv1623c","mtu02020"
"cydB","Rv1622c","mtu02020"
"ptpA","Rv2234","mtu02020"
"ptbB","Rv0153c","mtu02020"
"celA1","Rv0062","mtu02020"
"trpE","Rv1609","mtu02024"
"aroG","Rv2178c","mtu02024"
"kdpE","Rv1027c","mtu02024"
"gadB","Rv3432c","mtu02024"
"fadD15","Rv2187","mtu02024"
"crp","Rv3676","mtu02024"
"ribG","Rv1409","mtu02024"
"dppA","Rv3666c","mtu02024"
"dppB","Rv3665c","mtu02024"
"dppC","Rv3664c","mtu02024"
"oppA","Rv1280c","mtu02024"
"Rv2585c","Rv2585c","mtu02024"
"oppB","Rv1283c","mtu02024"
"oppC","Rv1282c","mtu02024"
"dppD","Rv3663c","mtu02024"
"oppD","Rv1281c","mtu02024"
"Rv3921c","Rv3921c","mtu02024"
"secE1","Rv0638","mtu02024"
"secG","Rv1440","mtu02024"
"secY","Rv0732","mtu02024"
"yajC","Rv2588c","mtu02024"
"secA1","Rv3240c","mtu02024"
"secA2","Rv1821","mtu02024"
"ftsY","Rv2921c","mtu02024"
"ffh","Rv2916c","mtu02024"
"plcC","Rv2349c","mtu02024"
"plcB","Rv2350c","mtu02024"
"plcA","Rv2351c","mtu02024"
"trpE","Rv1609","mtu02024"
"aroG","Rv2178c","mtu02024"
"kdpE","Rv1027c","mtu02024"
"gadB","Rv3432c","mtu02024"
"fadD15","Rv2187","mtu02024"
"crp","Rv3676","mtu02024"
"ribG","Rv1409","mtu02024"
"dppA","Rv3666c","mtu02024"
"dppB","Rv3665c","mtu02024"
"dppC","Rv3664c","mtu02024"
"oppA","Rv1280c","mtu02024"
"Rv2585c","Rv2585c","mtu02024"
"oppB","Rv1283c","mtu02024"
"oppC","Rv1282c","mtu02024"
"dppD","Rv3663c","mtu02024"
"oppD","Rv1281c","mtu02024"
"Rv3921c","Rv3921c","mtu02024"
"secE1","Rv0638","mtu02024"
"secG","Rv1440","mtu02024"
"secY","Rv0732","mtu02024"
"yajC","Rv2588c","mtu02024"
"secA1","Rv3240c","mtu02024"
"secA2","Rv1821","mtu02024"
"ftsY","Rv2921c","mtu02024"
"ffh","Rv2916c","mtu02024"
"plcC","Rv2349c","mtu02024"
"plcB","Rv2350c","mtu02024"
"plcA","Rv2351c","mtu02024"
"rpsA","Rv1630","mtu03010"
"rpsB","Rv2890c","mtu03010"
"rpsC","Rv0707","mtu03010"
"rpsD","Rv3458c","mtu03010"
"rpsE","Rv0721","mtu03010"
"rpsF","Rv0053","mtu03010"
"rpsG","Rv0683","mtu03010"
"rpsH","Rv0718","mtu03010"
"rpsI","Rv3442c","mtu03010"
"rpsJ","Rv0700","mtu03010"
"rpsK","Rv3459c","mtu03010"
"rpsL","Rv0682","mtu03010"
"rpsM","Rv3460c","mtu03010"
"rpsN1","Rv0717","mtu03010"
"rpsN2","Rv2056c","mtu03010"
"rpsO","Rv2785c","mtu03010"
"rpsP","Rv2909c","mtu03010"
"rpsQ","Rv0710","mtu03010"
"rpsR2","Rv2055c","mtu03010"
"rpsR1","Rv0055","mtu03010"
"rpsS","Rv0705","mtu03010"
"rpsT","Rv2412","mtu03010"
"rplA","Rv0641","mtu03010"
"rplB","Rv0704","mtu03010"
"rplC","Rv0701","mtu03010"
"rplD","Rv0702","mtu03010"
"rplE","Rv0716","mtu03010"
"rplF","Rv0719","mtu03010"
"rplL","Rv0652","mtu03010"
"rplI","Rv0056","mtu03010"
"rplJ","Rv0651","mtu03010"
"rplK","Rv0640","mtu03010"
"rplM","Rv3443c","mtu03010"
"rplN","Rv0714","mtu03010"
"rplO","Rv0723","mtu03010"
"rplP","Rv0708","mtu03010"
"rplQ","Rv3456c","mtu03010"
"rplR","Rv0720","mtu03010"
"rplS","Rv2904c","mtu03010"
"rplT","Rv1643","mtu03010"
"rplU","Rv2442c","mtu03010"
"rplV","Rv0706","mtu03010"
"rplW","Rv0703","mtu03010"
"rplX","Rv0715","mtu03010"
"rplY","Rv1015c","mtu03010"
"rpmA","Rv2441c","mtu03010"
"rpmB2","Rv2058c","mtu03010"
"rpmB1","Rv0105c","mtu03010"
"Rv2975a","Rv2975a","mtu03010"
"rpmC","Rv0709","mtu03010"
"rpmD","Rv0722","mtu03010"
"rpmE","Rv1298","mtu03010"
"rpmF","Rv0979A","mtu03010"
"rpmG1","Rv2057c","mtu03010"
"rpmG2","Rv0634B","mtu03010"
"rpmH","Rv3924c","mtu03010"
"rpmI","Rv1642","mtu03010"
"rpmJ","Rv3461c","mtu03010"
"rrs","Rvnr01","mtu03010"
"rrl","Rvnr02","mtu03010"
"rrf","Rvnr03","mtu03010"
"rpsA","Rv1630","mtu03010"
"rpsB","Rv2890c","mtu03010"
"rpsC","Rv0707","mtu03010"
"rpsD","Rv3458c","mtu03010"
"rpsE","Rv0721","mtu03010"
